Company Name,Rest of the Details
BARBARA LIEBERMAN PRODUCTIONS,"['Production company', '8252 W 4th St, Los Angeles, CA 90048 323-936-9015', '10510 Culver Blvd, Culver City, CA 90232 310-204-0404', 'imdb.com/company/co0021842 linkedin.com/in/barbara-lieberman-478b7a37', 'Accepts query letters from produced or represented writers. Project types include TV. Genres include comedy and drama.', 'Devlin McCluskey Development imdb.com/name/nm3052185', 'Barbara Lieberman Executive Producer imdb.com/name/nm0509365']"
BARBARIAN FILM FUND,"['Production company', '110 Greene St, Ste 600, New York, NY 10012', '212-561-5294', '1901 Ave of the Stars, CA 90067 310-553-2300 (phone)', '310-553-2345 (fax)', ' imdb.com/company/co0228488', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films. Genres include comedy and thriller.', 'Ron Hartenbaum Producer imdb.com/name/nm2735439', 'Doug Kuber', 'Principal, Producer imdb.com/name/nm2739787', 'Aaron Kaufman', 'Principal, Producer imdb.com/name/nm2721926']"
"BARBARIAN FILMS, LLC","['Production company', '1901 Ave of the Stars, CA 90067', '110 Greene St, Ste 402, New York City , NY 10012 212-561-5294 (phone)', '646-224-8270 (fax)', ' wearebarbarians.com imdb.com/company/co0228488', '\nDoes not accept any unsolicited material. Project types include feature films. Genres include action, family, and thriller.']"
BARNSTORM FILMS,"['Production company', '73 Market St, Venice, CA 90291', '310-396-5937 (phone)', '310-450-4988 (fax)', ' barnstormfilms.com imdb.com/company/co0044065', 'Accepts query letters from unproduced, unrepresented writers.', 'Tony Bill Producer ', 'imdb.com/name/nm0082300']"
BARNYARDGROUP ENTERTAINMENT,"['Production company', '15 Central Park West, Ste G104, New York, NY 10023', '175 Atlantic St - 3rd Floor, Stamford, CT 06901 646-532-1512', 'thebarnyardgroup.com linkedin.com/company/thebarnyardgroup facebook.com/TheBarnYardGroup twitter.com/BarnyardGroup', 'Does not accept any unsolicited material.', 'Elaine Rogers', 'Co-Founder/Co-CEO/Producer imdb.com/name/nm1199976']"
BARRY FILMS,"['Production company', 'Bachstrasse 9, Zurich 8038, Switzerland', 'Kanzowstr. 4, Berlin 10439 Germany', '49 30 2065 4809 (phone)', '49 30 4471 9142 (fax)', '4081 Redwood Ave, Los Angeles, CA 90066 310-871-3392', ' barryfilms.com imdb.com/company/co0075789', 'Does not accept any unsolicited material. Project types include feature films. Genres include action, animation, detective, drama, fantasy, horror, and romance. Established in 2002.', 'Benito Mueller Principal ', 'imdb.com/name/nm1762339']"
BARRY KATZ ENTERTAINMENT,"['Production company', '10100 Santa Monica Blvd 24th Fl, Los Angeles, CA 90067', '424-238-2300 (phone)', '424-238-2301 (fax)', ' barrykatz.com imdb.com/company/co0059469', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films, short films, and TV. Genres include action, comedy, drama, family, thriller, and documentary. Established in 1999.']"
BARRY MENDEL PRODUCTIONS,"['Production company', '11788 W Pico Blvd 3rd Floor, Los Angeles, CA 90064 310-943-4473', ' barrymendel.com/Home.html imdb.com/company/co0018092', 'Does not accept any unsolicited material. Project types include feature films. Genres include comedy, drama, and horror.', 'Barry Mendel', 'Producer imdb.com/name/nm0578814']"
BARWOOD FILMS,"['Production company', '\n5670 Wilshire Blvd, Ste 2400, Los Angeles, CA 90036', '323-653-1555 (phone)', '323-653-1593 (fax)', 'imdb.com/company/co0073376 linkedin.com/company/barwood-films facebook.com/barbrastreisand', 'Does not accept any unsolicited material. Project types include feature films. Genres include drama.', 'Jason Gould', 'President imdb.com/name/nm0332410', 'Cis Corman Chairman/Producer imdb.com/name/nm0180015', 'Barbra Streisand Actor/Director/Producer imdb.com/name/nm0000659 facebook.com/barbrastreisand twitter.com/BarbraStreisand']"
BASE PRODUCTIONS,"['Production company', '4540 W Valerio St, Burbank, CA 91505 818-333-5700', ' baseproductions.com imdb.com/company/co0010298 linkedin.com/company/base-productions facebook.com/pages/BASE-Productions/', '109436385749283', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, drama, and romance.', 'Mickey Stern', 'Co-CEO (Washington, DC) imdb.com/name/nm0827790', 'John Brenkus', 'Co-CEO', 'imdb.com/name/nm0107228']"
BASRA ENTERTAINMENT,"['Production company', '68-444 Perez Rd, Ste O, Cathedral City, CA 92234 760-324-9855 (phone)', '760-324-9035 (fax)', '(script submissions) (general) basraentertainment.com imdb.com/company/co0092056', 'Accepts query letters from unproduced, unrepresented writers via email. Established in 2002.', 'Dina Burke', 'Producer  imdb.com/name/nm1318482', 'Tony Shawkat', 'President  imdb.com/name/nm0790059', 'linkedin.com/pub/abdul-tony-shawkat/27/7a/a2b', 'Daniela Ryan', 'Producer  imdb.com/name/nm0752491', 'linkedin.com/pub/daniela-ryan/10/7b9/815']"
"BASS FILMS, EDWARD","['Production company', '511 Stonewood Dr, Beverly Hills, CA 90210', '358 Broadway, 3A, New York, NY 10013 212-937-5999 (phone)', '310-601-7628 (fax)', ' edwardbassfilms.com facebook.com/pages/Edward-Bass-Films/', '163000960933', 'twitter.com/EdwardBassFilm', 'Does not accept any unsolicited material. Project types include feature films. Genres include comedy and romance.', 'Edward Bass Producer/Writer/Financier linkedin.com/in/edwardbass1', '\nBAT BRIDGE ENTERTAINMENT', 'Production company', '504 W 7th St, Austin, TX 78701 512-400-0570', 'imdb.com/company/co0462903 facebook.com/BatBridge', 'Does not accept any unsolicited material. Project types include TV. Genres include documentary. Established in 2015.']"
BATTLE GROUND,"['Production company', '1948 N Van Ness Ave, Los Angeles, CA 90068 323-962-9913 (phone)', '323-962-9903 (fax)', 'imdb.com/company/co0295113', 'Does not accept any unsolicited material. Project types include feature films. Genres include comedy, drama, and romance. Established in 2007.', 'Mark Witsken', 'Producer imdb.com/name/nm0936837', 'David Mackay Producer/Director imdb.com/name/nm0533145']"
BATTLEPLAN PRODUCTIONS,"['Production company', '1041 N Formosa Ave, Santa Monica West Bldg. #222, West Hollywood, CA 90046', '323-850-2940', 'imdb.com/company/co0089304', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, crime, drama, horror, and thriller. Established in 1999.', 'Rod Lurie Partner/Writer/Director imdb.com/name/nm0527109', 'Marc Frydman Partner/Producer imdb.com/name/nm0296827', 'BAUER MARTINEZ STUDIOS', 'Production company', '601 Cleveland St, Ste 501, Clearwater, FL 33755', '727-210-1408 (phone)', '727-210-1470 (fax)', ' bauermartinez.com imdb.com/company/co0025891', 'linkedin.com/company/bauer-martinez-studios', 'Accepts query letters from unproduced, unrepresented writers.', 'Philippe Martinez', 'CEO', 'imdb.com/name/nm0553662 linkedin.com/pub/philippe-martinez/2b/71a/b11']"
BAUMANT ENTERTAINMENT,"['Production company', '14 Greenway Plaza 4L, Houston, TX 77046 imdb.com/company/co0326941', 'Accepts query letters from unproduced, unrepresented writers via email. Genres include drama and horror.']"
BAUMGARTEN MANAGEMENT AND PRODUCTIONS,"['Production company', '9595 Wilshire Blvd, Ste 1000, Beverly Hills, CA 90212', '310-445-1601', ' imdb.com/company/co0191075', 'Does not accept any unsolicited material. Project types include feature films and short films. Genres include action, crime, drama, horror, science fiction, thriller, and documentary. Established in 2000.', 'Craig Baumgarten Producer/Manager imdb.com/name/nm0062332']"
BAYONNE ENTERTAINMENT,"['Production company', '\nChalon Rd, Los Angeles, CA 90049 310-777-1940', ' imdb.com/company/co0070871 facebook.com/pages/Bayonne-Entertainment/', '179679728756461', 'Accepts query letters from produced or represented writers. Project types include TV. Genres include comedy, drama, fantasy, and science fiction.', 'Rob Lee', 'President imdb.com/name/nm0498098 linkedin.com/pub/rob-lee/14/46B/295']"
BAZELEVS PRODUCTION,"['Production company', '6920 Melrose Ave Ste 823, Los Angeles, CA 90038', '424-288-4822', 'Pudovkina St 6/1, Moscow 119285, Russia 7 495 223 04 00', ' bazelevs.ru', 'imdb.com/company/co0042742', 'Does not accept any unsolicited material. Project types include feature films. Genres include action, comedy, crime, drama, horror, science fiction, and thriller.', 'Established in 2004.']"
BAZELEVS PRODUCTIONS,"['Production company', 'Pudovkina St, 6/1, Moscow, Russia, 119285, Moscow 119285, Russia', '+7 495-223-04-00', '9229 Sunset Bvld., Ste 820, West Hollywood, CA 90069', '424-288-4822', ' bazelevs.ru', 'imdb.com/company/co0042742 linkedin.com/company/bazelevs-group', 'Does not accept any unsolicited material. Project types include feature films.', 'Timur Bekmambetov', 'Founder', '+7 495-223-04-00', ' imdb.com/name/nm0067457', 'linkedin.com/pub/timur-bekmambetov/4/9b1/863', 'Alan Khamoui Development Executive imdb.com/name/nm3081242', 'linkedin.com/pub/alan-khamoui/44/12/641']"
BBC FILMS,"['Production company', 'Zone A, 7th Fl, BBC Broadcasting House Portland Pl, London, United Kingdom, W1A 1AA', '011-440-2036144445', 'bbc.co.uk/bbcfilms imdb.com/company/co0103694 twitter.com/BBCFilms', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, crime, detective, drama, fantasy, horror, non- fiction, myth, romance, science fiction, and thriller.']"
BBCG FILMS,"['Production company', '466 W Montgomery Ave, Haverford, PA 19041', ' imdb.com/company/co0396231', 'Does not accept any unsolicited material. Project types include feature films. Genres include comedy and romance. Established in 2011.', 'Tammy Tiehel-Stedman Producer imdb.com/name/nm0862843']"
BBC WORLDWIDE,"['Production company and distributor', '10351 Santa Monica Blvd Ste 250, Los Angeles CA 90025', '310-228-1001', '\nMedia Centre London 201 Wood Ln, London United Kingdom W12 7TQ', '011-442-084332000 (phone)', '011-442-087490538 (fax)', '255 Alhambra Circle 10th Floor, Coral Gables FL 33134', '305-461-6999', 'Dubai Media City Building Sheikh Zayed Rd Number 10 Office #309, Dubai United Arab Emirates', '011-009-7143678090 (phone)', '011-009-7143678077 (fax)', '1120 Ave of the Americas, Fifth Floor, New York, NY 10036', '212-705-9300 (phone)', '212-888-0576 (fax)', 'bbcworldwide.com imdb.com/company/co0168805', 'Does not accept any unsolicited material. Project types include TV. Genres include comedy, family, non- fiction, reality, sociocultural, and documentary.']"
BBR PRODUCTIONS (II),"['Production company', 'Brooklyn, NEW YORK 11228 631-599-2263', ' bbrproductions.com imdb.com/company/co0613929', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films, short films, and TV. Genres include comedy, drama, and thriller. Established in 2014.']"
BCDF PICTURES,"['Production company', '7 Old Pilgrims Way, Kerhonkson, NY 12446 845-834-4300 (phone)', '917-591-7589 (fax)', '(script submissions) (general)', 'bcdfpictures.com imdb.com/company/co0303915 linkedin.com/company/bcdf-pictures', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films. Genres include comedy, crime, drama, family, romance, and thriller.', 'Brice Dal Farra', 'Principal imdb.com/name/nm3894454 facebook.com/brice.dalfarra', 'Paul Prokop', 'COO (Executive Producer) imdb.com/name/nm2373782', 'Lauren Munsch', 'Producer imdb.com/name/nm3907323', 'Claude Dal Farra Principal imdb.com/name/nm3894387']"
BCII,"['Production company', '16135 Roscoe Blvd, North Hills, CA 91343 818-333-3680 (phone)', '818-487-2713 (fax)', ' bciitv.com', 'imdb.com/company/co0398777 facebook.com/BCIItv', 'Does not accept any unsolicited material. Project types include short films and TV. Genres include reality and documentary. Established in 1997.', 'Cynthia Whorton Director of Operations  imdb.com/name/nm1469778', 'Ashley Yoder', 'Producer imdb.com/name/nm1825095', 'Greg Glass President ', 'imdb.com/name/nm2374944', '\nBud Brutsman CEO/Producer imdb.com/name/nm0116782']"
BCUT PRODUCTIONS,"['Production company and distributor', '276 Morris Ave, Springfield, NJ 07081-1214', ' imdb.com/company/co0196890', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, crime, drama, horror, and thriller. Established in 2007.']"
BDE ENTERTAINMENT,"['Production company and distributor', '9903 Santa Monica Blvd, Ste 230, Beverly Hills, CA 90212', '310-606-0092', 'imdb.com/company/co0186277', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, crime, drama, and reality. Established in 2006.', 'Bob Debrino', 'Producer imdb.com/name/nm1754593']"
BEACHSIDE FILMS,"['Production company', '625 Mildred Ave, Venice, CA 90291', '310-230-3999', ' beachsidefilms.com imdb.com/company/co0421107 facebook.com/beachsidefilms twitter.com/Beachsidefilms', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include comedy, drama, romance, and documentary. Established in 2013.', 'Michael B. Clark Partner/Producer imdb.com/name/nm0164290', 'Alex Turtletaub Partner/Producer imdb.com/name/nm2801211']"
BEACON PICTURES,"['Production company', '2900 Olympic Blvd, 2nd Floor, Santa Monica, CA 90404, Santa Monica, CA 90404', '310-260-7000 (phone)', '310-260-7096 (fax)', ' beaconpictures.com imdb.com/company/co0097246', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, crime, detective, drama, family, fantasy, romance, science fiction, and thriller. Established in 1990.', 'Jeffrey Crooks', 'Director (Special Projects) imdb.com/name/nm3715349 linkedin.com/pub/dir/jeff/crooks', 'Joeanna Sayler', 'Executive (Television) imdb.com/media/rm2798096896/nm1376366', 'Glenn Klekowski', 'Vice President (Internet Content) imdb.com/name/nm0459192 linkedin.com/pub/glenn-klekowski/17/3b3/8b3', 'Suzann Ellis', 'President  imdb.com/name/nm0255104', 'Armyan Berstein Chairman imdb.com/name/nm0077000']"
BEACON PICTURES,"['Production company and distributor', '\n2900 Olympic Blvd 2nd Fl, Santa Monica, CA 90404 310-260-7000', 'beaconpictures.com imdb.com/company/co0097246', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, crime, drama, family, fantasy, romance, and thriller. Established in 1991.', 'Armyan Bernstein', 'Producer/ Chairman (Executive) 310-260-7000', 'beaconpictures.com imdb.com/company/co0097246']"
BEDFORD FALLS COMPANY,"['Production company and studio', '409 Santa Monica Blvd, Penthouse Suite, Santa Monica, CA 90401', '310-394-5022 (phone)', '310-394-5825 (fax)', 'imdb.com/company/co0110946 linkedin.com/company/bedford-falls-productions facebook.com/pages/Bedford-Falls-Productions/', '143292225689760', 'Does not accept any unsolicited material. Project types include feature films. Genres include action and drama. Established in 1985.', 'Troy Putney', 'Creative Executive imdb.com/name/nm1586726']"
"BEDFORD FALLS COMPANY, THE","['Production company', '409 Santa Monica Blvd, Penthouse, Santa Monica, CA 90401', '310-394-5022 (phone)', '310-394-5825 (fax)', 'imdb.com/company/co0014925', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, drama, and family.', 'BEDLAM PRODUCTIONS', 'Production company', 'London, UK', '+ 44 20 7287 6317', ' bedlamproductions.co.uk imdb.com/company/co0095111 facebook.com/Bedlam-', 'Productions-127172314069095 twitter.com/Bedlam_Prods', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include horror.', 'Gareth Unwin', 'Producer imdb.com/name/nm1060902']"
BEDROCK STUDIOS,"['Production company', '2115 Colorado Ave, Santa Monica, CA 90404 310-264-6480', 'imdb.com/company/co0299258', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, animation, drama, family, fantasy, and science fiction. Established in 2011.', 'Spike Seldin', 'Head of Television imdb.com/name/nm1749292', 'Cary Granat', 'Co-Founder/Producer imdb.com/name/nm0334665']"
BEECH HILL FILMS,"['Production company', '330 W 38th St, Ste 1004, New York, NY 10018', '212-594-8095 (phone)', '212-594-8118 (fax)', 'imdb.com/company/co0064667', 'Does not accept any unsolicited material. Project types include feature films and short films. Genres include comedy, drama, family, romance, thriller, and documentary. Established in 1999.', '\nJoseph Infantolino Producer imdb.com/name/nm0408642', 'Alexa Fogel', 'Producer imdb.com/name/nm0283881']"
BEE FREE PRODUCTIONS,"['Production company', '24139 Twin Tides Dr, Valencia, CA 91355 310-441-5151', ' imdb.com/company/co0274443 linkedin.com/in/jessedouma', 'Does not accept any unsolicited material. Project types include feature films, short films, TV, commercials, theater, and video games. Genres include action, animation, comedy, crime, detective, drama, family, fantasy, horror, non-fiction, myth, reality, romance, science fiction, sociocultural, thriller, period, and documentary. Established in 2015.', 'Jesse Exec Account Development Executive ']"
BEE HOLDER PRODUCTIONS,"['Production company', '310-860-1005 (phone)', '310-860-1007 (fax)', ' beeholder.com imdb.com/company/co0136434', 'Accepts query letters from unproduced, unrepresented writers. Project types include feature films. Genres include comedy, crime, detective, drama, thriller, and documentary.', 'Steven L. Jones', 'Principal imdb.com/name/nm2831867', 'linkedin.com/pub/steve-jones/9/1A4/ABB', 'Dan Fugardi', 'Vice President (New Media)  imdb.com/name/nm2809882 linkedin.com/in/danfugardi', 'John Hill', 'imdb.com/name/nm4787026', 'Michelle Jones', 'Executive imdb.com/name/nm4786947']"
BEFORE THE DOOR PICTURES,"['Production company 323-644-5525', ' beforethedoor.com imdb.com/company/co0271126 facebook.com/beforethedoor', 'Does not accept any unsolicited material. Project types include feature films, TV, and commercials. Genres include action, comedy, crime, drama, science fiction, and thriller.', 'Sean Akers', 'Development Executive imdb.com/name/nm3577109', 'Neal Dodson', 'Partner imdb.com/name/nm0230306', 'Corey Moosa', 'Partner imdb.com/name/nm0602161 facebook.com/corey.moosa', 'Zachary Quinto', 'Partner', 'zacharyquinto.com/before-the-door.html imdb.com/name/nm0704270 facebook.com/zacharyquintoofficial']"
BE GOOD PRODUCTIONS,"['Production company', '1327 Ocean Ave, Ste L, Santa Monica, CA 90491 310-458-1600 (phone)', '310-458-1665 (fax)', '\n imdb.com/company/co0202350', 'Does not accept any unsolicited material. Project types include feature films.']"
BEHOLD MOTION PICTURES,"['Production company', 'Oklahoma City, OK 213-260-1670', ' beholdmotionpictures.com imdb.com/company/co0471021', 'Does not accept any unsolicited material. Project types include feature films. Genres include drama and documentary. Established in 2014.']"
BELIEVE ENTERTAINMENT,"['Production company and distributor', '638 Carmel Dr, Lafayette, LA 70501', '337-235-4383', ' believe-entertainment.com imdb.com/company/co0158325', 'linkedin.com/company/believe-entertainment facebook.com/pages/Believe-Entertainment/', '149232458511959', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films and TV. Genres include action, drama, and documentary. Established in 2007.', 'Chuck Konzelman Producer imdb.com/name/nm0465484', 'Cary Solomon', 'Producer imdb.com/name/nm0813301']"
BELIEVE MEDIA,"['Production company', '1455 Gordon St, Los Angeles, CA 90028 323-645-1000 (phone)', '323-645-1001 (fax)', 'believemedia.com imdb.com/company/co0049209', 'Does not accept any unsolicited material. Project types include feature films and short films. Genres include documentary. Established in 2000.']"
BELISARIUS PRODUCTIONS,"['Production company', 'c/o Sunset Gower Studios, 1438 N Gower St, Box 25, Bldg. 35, 4th Fl., Los Angeles, CA 90028', '323-468-4500', 'imdb.com/company/co0114905', 'Does not accept any unsolicited material. Project types include TV. Genres include crime, detective, drama, and thriller.', 'Mark Horowitz', 'imdb.com/name/nm0395317', 'Chas Floyd Johnson', 'imdb.com/name/nm0424759', 'John C. Kelley', 'imdb.com/name/nm0445931', 'Donald Bellisario Executive Producer imdb.com/name/nm0069074', 'linkedin.com/pub/donald-bellisario/15/99/355', 'Shane Brennan', 'Producer imdb.com/name/nm0107402', 'David Bellisario', 'Producer imdb.com/name/nm0069072']"
BELLADONNA PRODUCTIONS,"['Production company', '164 W 25th St 9th Floor, New York, NY 10001 212-807-0108 (phone)', '212-807-6263 (fax)', ' belladonna.bz imdb.com/company/co0003224', 'facebook.com/belladonnaproductions twitter.com/belladonnaprods', '\nAccepts scripts from unproduced, unrepresented writers via email. Project types include feature films and commercials. Genres include comedy, non-fiction, and thriller. Established in 1994.', 'René Bastian Owner/Producer 212-807-0108', ' imdb.com/name/nm0060459 linkedin.com/company/belladonna-productions facebook.com/rene.bastian.167 twitter.com/renebastian']"
BELLA LUCE PRODUCTIONS,"['Production company', '1901 Ave Of The Stars, Los Angeles, CA 90067', ' bellaluceproductions.com imdb.com/company/co0466033 linkedin.com/company/6631363', 'Accepts query letters from produced or represented writers. Project types include feature films and short films. Genres include crime, drama, horror, science fiction, and thriller. Established in 2011.']"
BELLE FILMS,"['Production company', '17 Perrers Rd, London W6 0EY, UK 447-935-815727', ' bellefilms.co.uk imdb.com/company/co0499376', 'Does not accept any unsolicited material. Project types include feature films and short films. Genres include drama and romance. Established in 2015.', 'Alexandra Billington Billington Producer imdb.com/name/nm1345646']"
BELL MEDIA,"['Production company and distributor', '299 Queen St W, Toronto, ON M5V 2Z5, Canada 416-384-8000', ' bellmedia.ca imdb.com/company/co0362149', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, crime, detective, drama, fantasy, horror, romance, and thriller.']"
BELLTOWER PRODUCTIONS,"['Production company and distributor', 'PO Box 360161, Cleveland, OH 44136', '216-251-5600', ' imdb.com/company/co0024842 facebook.com/BELLTOWER-', 'Productions-57893946430', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, drama, family, romance, science fiction, thriller, and documentary. Established in 1995.']"
BELLUM ENTERTAINMENT,"['Production company and distributor', '2901 W Alameda Ave Ste 500, Burbank, CA 91505', '818-480-4600', 'bellument.com imdb.com/company/co0361925 linkedin.com/company/bellum-entertainment facebook.com/BellumEntertainment twitter.com/BellumEnt', 'Does not accept any unsolicited material. Project types include TV. Genres include comedy, family, reality, period, and documentary. Established in 2011.']"
BELLWETHER PICTURES,"['Production company', '73 Moody Rd, Tunbridge, VT 05077', '802-889-3474 (phone)', '802-889-3412 (fax)', ' bellwetherfilms.com imdb.com/company/co0359041 twitter.com/BellwetherPics', '\nAccepts query letters from unproduced, unrepresented writers via email. Project types include feature films and commercials. Genres include action, comedy, drama, and science fiction. Established in 2011.', 'Kai Cole', 'Principal imdb.com/name/nm4740874', 'Joss Whedon', 'Principal imdb.com/name/nm0923736']"
BELVEDERE FILM,"['Production company and distributor', 'Vienna, Austria 43 676 623 20 91', 'Colorado Springs, CO 719-310-8233', ' belvederefilm.com imdb.com/company/co0004808', 'Does not accept any unsolicited material. Project types include feature films. Genres include action, comedy, crime, drama, family, romance, and documentary.', 'Established in 1946.']"
BENAROYA PICTURES,"['Production company, distributor, and sales agent', '8383 Wilshire Blvd, Ste 310, Beverly Hills, CA 90211', '323-883-0056 (phone)', '866-220-5520 (fax)', ' imdb.com/company/co0232586', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, drama, family, and thriller.']"
BENAROYA PICTURES,"['Production company and sales agent', '8383 Wilshire Blvd Ste 310, Beverly Hills, CA 90211', '323-883-0056 (phone)', '866-220-5520 (fax)', 'benaroyapictures.com imdb.com/company/co0232586 facebook.com/Benaroya-Pictures-271526159554814 twitter.com/BenaroyaPics', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films. Genres include action, comedy, crime, drama, horror, romance, science fiction, thriller, and period.', 'Established in 2006.', 'Clayton Young', '323-883-0056', ' imdb.com/name/nm4464240 facebook.com/clayton.young.5851', 'Joe Jenckes Head (Production) 323-883-0056', ' imdb.com/name/nm3765270 linkedin.com/pub/joe-jenckes/7/bb7/5a8', 'Michael Benaroya', 'CEO', '323-883-0056', 'imdb.com/name/nm2918260']"
BENDERSPINK,"['Production company', '8447 Wilshire Blvd Ste 250, Los Angeles, CA 90211', '323-904-1800 (phone)', '323-297-2442 (fax)', ' benderspink.com imdb.com/company/co0044439', 'facebook.com/pages/Benderspink/177855663106', 'Does not accept any unsolicited material. Project types include TV. Genres include action, comedy, crime, detective, drama, fantasy, horror, non-fiction, myth, romance, science fiction, and thriller.', 'Chris Bender', 'Founder imdb.com/name/nm0818940', 'linkedin.com/pub/chris-bender/10/B22/569', '\nJ.C. Spink', 'Founder imdb.com/name/nm0818940']"
BENETONE HILLIN ENTERTAINMENT,"['Production company', '1323 15th St, Santa Monica, CA 90404 310-382-1363', 'Omni Tower, Unit 69/57, 69 Sukhumvit Soi 4, Bangkok 10110, Thailand', '66 22530124 (phone)', '66 22539419 (fax)', ' benetonehillin.com imdb.com/company/co0388051', 'Does not accept any unsolicited material. Project types include feature films and TV.']"
BENNETT ROBBINS PRODUCTIONS,"['Production company', '116 Thompson St #2A, New York, NY 10012 212-586-0500 (phone)', '212-918-9138 (fax)', ' imdb.com/company/co0233377', 'Does not accept any unsolicited material. Project types include feature films and short films. Genres include comedy, crime, drama, horror, romance, thriller, and documentary. Established in 2009.', 'Lawrence Robbins', 'imdb.com/name/nm2797178']"
BENTO BOX ENTERTAINMENT,"['Production company', '5161 Lankershim Blvd Ste #120, Burbank, CA 91601 2600 W Magnolia Blvd, Burbank, CA 91505', '818-333-7700', ' bentoboxent.com imdb.com/company/co0239674', 'linkedin.com/company/bento-box-entertainment-llc facebook.com/bentoboxent', 'twitter.com/BentoBoxEnt', 'Does not accept any unsolicited material. Project types include short films. Genres include comedy and family.', 'Mark McJimsey Principal/Producer imdb.com/name/nm0570877', 'Joel Kuwahara Principal/Producer imdb.com/name/nm0476669', 'Scott Greenberg Principal/Producer imdb.com/name/nm2092115']"
BERKELEY FILMS,"['Production company', '25 Withrow Ave, Toronto, ON M4K 1C8 Canada 416-518-3785', ' berkeleyfilms.com imdb.com/company/co0110459 facebook.com/BerkeleyFilms twitter.com/Berkeley_Films', 'Does not accept any unsolicited material. Project types include short films and TV. Genres include comedy and documentary.', 'Jonathan Hayes', 'Director imdb.com/name/nm1419056']"
BERK/LANE ENTERTAINMENT,"['Production company', '9595 Wilshire Blvd, Ste 900, Beverly Hills, CA 90212', '310-300-8410', ' berklane.com imdb.com/company/co0183891', 'Does not accept any unsolicited material. Genres include action, comedy, and crime.', 'Matt Lane', 'imdb.com/name/nm2325262', '\nJason Berk', 'imdb.com/name/nm1357809']"
BERLANTI PRODUCTIONS,"['Production company', '4000 Warner Blvd, Burbank, CA 91522 imdb.com/company/co0330789', 'Does not accept any unsolicited material. Project types include feature films, short films, and TV. Genres include action, comedy, crime, drama, family, fantasy, horror, romance, and thriller. Established in 2012.']"
BERLANTI TELEVISION,"['Production company', '4000 Warner Blvd, Burbank, CA 91522', '818-954-4319 (phone)', '818-977-9728 (fax)', 'imdb.com/company/co0192672', 'Accepts query letters from unproduced, unrepresented writers. Project types include TV. Genres include drama.', 'Greg Berlanti', 'Principal imdb.com/name/nm0075528', 'Ryan Lindenberg Director of Development imdb.com/name/nm1742204']"
BERNERO PRODUCTIONS,"['Production company', '500 S Buena Vista St, Ste 2D-4, Burbank, CA 91521 818-560-1442', ' berneroproductions.com imdb.com/company/co0281008', 'Accepts query letters from unproduced, unrepresented writers via email.', 'Bob Kim', 'Producer imdb.com/name/nm2344755', 'BERT MARCUS PRODUCTIONS', 'Production company Beverly Hills, CA', 'bertmarcus.com imdb.com/company/co0207528', 'Does not accept any unsolicited material. Project types include feature films. Genres include drama and documentary. Established in 2008.', 'Bert Marcus Principal (Executive) 310-874-9750', 'imdb.com/name/nm2632504']"
BETH GROSSBARD PRODUCTIONS,"['Production company', '5168 Otis Ave, Tarzana, CA 91356', '818-758-2500 (phone)', '818-705-7366 (fax)', ' imdb.com/company/co0037144', 'Accepts query letters from produced or represented writers. Project types include TV. Genres include comedy and drama. Established in 2001.', 'Beth Grossbard Executive Producer ', 'imdb.com/name/nm0343526 linkedin.com/pub/beth-grossbard/12/989/996']"
BETRON PRODUCTIONS,"['Production company', '2400 Augusta Dr ste 355, Houston, TX 77057', 'betronproductions.com imdb.com/company/co0178286', 'Does not accept any unsolicited material. Project types include feature films and short films. Genres include action, comedy, drama, and family. Established in 2007.']"
BEYOND DREAMS PRODUCTIONS,"['Production company', '\n247 SW 8th St #895, Miami, FL 33130', ' beyondreams.com imdb.com/company/co0188512', 'facebook.com/BeyondDreamsEntertainmentPvtLtd', 'Accepts query letters from unproduced, unrepresented writers via email. Genres include drama and documentary.']"
B GOOD PICTURE COMPANY,"['Production company and distributor London, UK', ' bgoodpicturecompany.com imdb.com/company/co0285978', 'Does not accept any unsolicited material. Project types include feature films, short films, and TV. Genres include action, animation, comedy, crime, drama, family, and romance. Established in 2011.', 'Joe Stephenson', 'Producer imdb.com/name/nm3087240']"
